Datetime,Depth (m),Pressure (Decibar),Temperature (Celsius),Conductivity (mS/cm),Salinity (PSU),Oxygen (%),Oxygen (mg/l),Fluorescence (mkg/l),Turbidity (FTU),Sigma (kg/m3),Sound velocity (m/s),Station,Cruise,Latitude,Longitude,Laboratory,Chief,Probe,Check date
2024-08-27T11:17:18,30.12,30.4,5.826,8.413,7.593,81.63,9.8,0.24,0.57,5.88,1439.64,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,30.73,31.01,5.643,8.36,7.583,81.77,9.84,0.29,0.57,5.882,1438.84,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,31.18,31.46,5.521,8.333,7.584,81.52,9.84,0.24,0.55,5.89,1438.32,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,31.71,32.0,5.376,8.299,7.583,81.97,9.91,0.22,0.71,5.897,1437.69,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,32.0,32.29,5.217,8.249,7.57,81.75,9.88,0.25,0.62,5.893,1436.98,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,32.36,32.66,5.147,8.242,7.579,81.67,9.87,0.22,0.75,5.905,1436.7,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,32.7,33.0,5.126,8.232,7.574,81.35,9.84,0.2,0.75,5.904,1436.6,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,32.97,33.27,5.11,8.225,7.57,81.41,9.84,0.2,0.72,5.903,1436.53,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,33.31,33.61,5.101,8.222,7.569,81.3,9.84,0.19,0.73,5.904,1436.5,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,33.38,33.69,5.089,8.224,7.574,81.43,9.87,0.16,0.76,5.908,1436.45,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
